filepath,description,refactoring_suggestion
Bullet3Dynamics/ConstraintSolver/b3SolverBody.h,GPU solver body data structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3SolverConstraint.h,GPU solver constraint data structure,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3TypedConstraint.cpp,GPU typed constraint base implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Dynamics/ConstraintSolver/b3TypedConstraint.h,GPU typed constraint base header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3AabbUtil.h,GPU AABB utility functions,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3ConvexHullComputer.cpp,GPU convex hull computation implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3ConvexHullComputer.h,GPU convex hull computation header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3GeometryUtil.cpp,GPU geometry utility functions implementation,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3GeometryUtil.h,GPU geometry utility functions header,Skip - GPU-specific code not applicable to TypeScript port
Bullet3Geometry/b3GrahamScan2dConvexHull.h,GPU Graham scan 2D convex hull algorithm,Skip - GPU-specific code not applicable to TypeScript port
Bullet3OpenCL/**/*,All OpenCL GPU acceleration code,Skip entire directory - OpenCL not applicable to TypeScript
Bullet3Serialize/Bullet2FileLoader/autogenerated/bullet2.h,Auto-generated serialization structures,Skip - serialization can be handled with JSON in TypeScript
Bullet3Serialize/Bullet2FileLoader/b3BulletFile.cpp,Bullet file format loader implementation,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3BulletFile.h,Bullet file format loader header,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3Chunk.cpp,Bullet file chunk reading implementation,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3Chunk.h,Bullet file chunk reading header,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3Common.h,Bullet serialization common definitions,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3Defines.h,Bullet serialization definitions,Port later - convert to JSON-based serialization system
Bullet3Serialize/Bullet2FileLoader/b3DNA.cpp,Bullet DNA (data structure description) implementation,Port later - convert to JSON schema system
Bullet3Serialize/Bullet2FileLoader/b3DNA.h,Bullet DNA (data structure description) header,Port later - convert to JSON schema system
Bullet3Serialize/Bullet2FileLoader/b3File.cpp,Bullet file I/O implementation,Port later - use Node.js fs module or browser File API
Bullet3Serialize/Bullet2FileLoader/b3File.h,Bullet file I/O header,Port later - use Node.js fs module or browser File API
Bullet3Serialize/Bullet2FileLoader/b3Serializer.cpp,Bullet serializer implementation,Port later - convert to JSON serialization system
Bullet3Serialize/Bullet2FileLoader/b3Serializer.h,Bullet serializer header,Port later - convert to JSON serialization system
BulletCollision/BroadphaseCollision/btAxisSweep3.cpp,Axis sweep and prune broadphase algorithm implementation,Direct port - core collision detection algorithm
BulletCollision/BroadphaseCollision/btAxisSweep3.h,Axis sweep and prune broadphase algorithm header,Direct port - core collision detection algorithm
BulletCollision/BroadphaseCollision/btAxisSweep3Internal.h,Axis sweep internal implementation details,Direct port - merge with main btAxisSweep3 implementation
BulletCollision/BroadphaseCollision/btBroadphaseInterface.h,Abstract broadphase collision interface,Direct port - convert to TypeScript interface
BulletCollision/BroadphaseCollision/btBroadphaseProxy.cpp,Broadphase proxy object implementation,Direct port - represents objects in broadphase
BulletCollision/BroadphaseCollision/btBroadphaseProxy.h,Broadphase proxy object header,Direct port - represents objects in broadphase
BulletCollision/BroadphaseCollision/btCollisionAlgorithm.cpp,Base collision algorithm implementation,Direct port - abstract base for collision algorithms
BulletCollision/BroadphaseCollision/btCollisionAlgorithm.h,Base collision algorithm header,Direct port - abstract base for collision algorithms
BulletCollision/BroadphaseCollision/btDbvt.cpp,Dynamic bounding volume tree implementation,Direct port - important spatial data structure
BulletCollision/BroadphaseCollision/btDbvt.h,Dynamic bounding volume tree header,Direct port - important spatial data structure
BulletCollision/BroadphaseCollision/btDbvtBroadphase.cpp,DBVT-based broadphase implementation,Direct port - main broadphase algorithm
BulletCollision/BroadphaseCollision/btDbvtBroadphase.h,DBVT-based broadphase header,Direct port - main broadphase algorithm
BulletCollision/BroadphaseCollision/btDispatcher.cpp,Collision dispatcher base implementation,Direct port - manages collision algorithm dispatch
BulletCollision/BroadphaseCollision/btDispatcher.h,Collision dispatcher base header,Direct port - manages collision algorithm dispatch
BulletCollision/BroadphaseCollision/btOverlappingPairCache.cpp,Overlapping pair cache implementation,Direct port - caches collision pairs
BulletCollision/BroadphaseCollision/btOverlappingPairCache.h,Overlapping pair cache header,Direct port - caches collision pairs
BulletCollision/BroadphaseCollision/btOverlappingPairCallback.h,Overlapping pair callback interface,Direct port - convert to TypeScript interface/callback
BulletCollision/BroadphaseCollision/btQuantizedBvh.cpp,Quantized bounding volume hierarchy implementation,Direct port - optimized spatial data structure
BulletCollision/BroadphaseCollision/btQuantizedBvh.h,Quantized bounding volume hierarchy header,Direct port - optimized spatial data structure
BulletCollision/BroadphaseCollision/btSimpleBroadphase.cpp,Simple O(n²) broadphase implementation,Direct port - useful for small numbers of objects
BulletCollision/BroadphaseCollision/btSimpleBroadphase.h,Simple O(n²) broadphase header,Direct port - useful for small numbers of objects
BulletCollision/CollisionDispatch/btActivatingCollisionAlgorithm.cpp,Self-activating collision algorithm base,Direct port - handles object activation
BulletCollision/CollisionDispatch/btActivatingCollisionAlgorithm.h,Self-activating collision algorithm header,Direct port - handles object activation
BulletCollision/CollisionDispatch/btBox2dBox2dCollisionAlgorithm.cpp,2D box-box collision algorithm,Direct port - 2D collision detection
BulletCollision/CollisionDispatch/btBox2dBox2dCollisionAlgorithm.h,2D box-box collision algorithm header,Direct port - 2D collision detection
BulletCollision/CollisionDispatch/btBoxBoxCollisionAlgorithm.cpp,3D box-box collision algorithm,Direct port - fundamental collision algorithm
BulletCollision/CollisionDispatch/btBoxBoxCollisionAlgorithm.h,3D box-box collision algorithm header,Direct port - fundamental collision algorithm
BulletCollision/CollisionDispatch/btBoxBoxDetector.cpp,Box-box collision detector implementation,Direct port - low-level collision detection
BulletCollision/CollisionDispatch/btBoxBoxDetector.h,Box-box collision detector header,Direct port - low-level collision detection
BulletCollision/CollisionDispatch/btCollisionConfiguration.h,Collision system configuration interface,Direct port - convert to TypeScript configuration interface
BulletCollision/CollisionDispatch/btCollisionCreateFunc.h,Collision algorithm factory function,Convert to TypeScript factory pattern or class constructors
BulletCollision/CollisionDispatch/btCollisionDispatcher.cpp,Main collision dispatcher implementation,Direct port - core collision system component
BulletCollision/CollisionDispatch/btCollisionDispatcher.h,Main collision dispatcher header,Direct port - core collision system component
BulletCollision/CollisionDispatch/btCollisionDispatcherMt.cpp,Multi-threaded collision dispatcher,Skip or simplify - JavaScript is single-threaded
BulletCollision/CollisionDispatch/btCollisionDispatcherMt.h,Multi-threaded collision dispatcher header,Skip or simplify - JavaScript is single-threaded
BulletCollision/CollisionDispatch/btCollisionObject.cpp,Base collision object implementation,Direct port - fundamental collision system class
BulletCollision/CollisionDispatch/btCollisionObject.h,Base collision object header,Direct port - fundamental collision system class
BulletCollision/CollisionDispatch/btCollisionObjectWrapper.h,Collision object wrapper for algorithms,Direct port - utility wrapper class
BulletCollision/CollisionDispatch/btCollisionWorld.cpp,Collision world implementation,Direct port - main collision world container
BulletCollision/CollisionDispatch/btCollisionWorld.h,Collision world header,Direct port - main collision world container
BulletCollision/CollisionDispatch/btCollisionWorldImporter.cpp,Collision world importer from serialized data,Port later with serialization - JSON-based import
BulletCollision/CollisionDispatch/btCollisionWorldImporter.h,Collision world importer header,Port later with serialization - JSON-based import
BulletCollision/CollisionDispatch/btCompoundCollisionAlgorithm.cpp,Compound shape collision algorithm,Direct port - handles compound shapes
BulletCollision/CollisionDispatch/btCompoundCollisionAlgorithm.h,Compound shape collision algorithm header,Direct port - handles compound shapes
BulletCollision/CollisionDispatch/btCompoundCompoundCollisionAlgorithm.cpp,Compound-compound collision algorithm,Direct port - complex collision case
BulletCollision/CollisionDispatch/btCompoundCompoundCollisionAlgorithm.h,Compound-compound collision algorithm header,Direct port - complex collision case
BulletCollision/CollisionDispatch/btConvex2dConvex2dAlgorithm.cpp,2D convex-convex collision algorithm,Direct port - 2D collision detection
BulletCollision/CollisionDispatch/btConvex2dConvex2dAlgorithm.h,2D convex-convex collision algorithm header,Direct port - 2D collision detection
BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.cpp,Convex-concave collision algorithm,Direct port - important collision case
BulletCollision/CollisionDispatch/btConvexConcaveCollisionAlgorithm.h,Convex-concave collision algorithm header,Direct port - important collision case
BulletCollision/CollisionDispatch/btConvexConvexAlgorithm.cpp,Convex-convex collision algorithm,Direct port - most common collision case
BulletCollision/CollisionDispatch/btConvexConvexAlgorithm.h,Convex-convex collision algorithm header,Direct port - most common collision case
BulletCollision/CollisionDispatch/btConvexPlaneCollisionAlgorithm.cpp,Convex-plane collision algorithm,Direct port - common collision case
BulletCollision/CollisionDispatch/btConvexPlaneCollisionAlgorithm.h,Convex-plane collision algorithm header,Direct port - common collision case
BulletCollision/CollisionDispatch/btDefaultCollisionConfiguration.cpp,Default collision system configuration,Direct port - standard collision setup
BulletCollision/CollisionDispatch/btDefaultCollisionConfiguration.h,Default collision system configuration header,Direct port - standard collision setup
BulletCollision/CollisionDispatch/btEmptyCollisionAlgorithm.cpp,Empty/null collision algorithm,Direct port - no-op algorithm
BulletCollision/CollisionDispatch/btEmptyCollisionAlgorithm.h,Empty/null collision algorithm header,Direct port - no-op algorithm
BulletCollision/CollisionDispatch/btGhostObject.cpp,Ghost object (non-solid) implementation,Direct port - trigger/sensor objects
BulletCollision/CollisionDispatch/btGhostObject.h,Ghost object (non-solid) header,Direct port - trigger/sensor objects
BulletCollision/CollisionDispatch/btHashedSimplePairCache.cpp,Hash-based simple pair cache,Direct port - optimized pair caching
BulletCollision/CollisionDispatch/btHashedSimplePairCache.h,Hash-based simple pair cache header,Direct port - optimized pair caching
BulletCollision/CollisionDispatch/btInternalEdgeUtility.cpp,Internal edge utility for mesh collision,Direct port - mesh collision optimization
BulletCollision/CollisionDispatch/btInternalEdgeUtility.h,Internal edge utility header,Direct port - mesh collision optimization
BulletCollision/CollisionDispatch/btManifoldResult.cpp,Collision manifold result implementation,Direct port - collision contact results
BulletCollision/CollisionDispatch/btManifoldResult.h,Collision manifold result header,Direct port - collision contact results
BulletCollision/CollisionDispatch/btSimulationIslandManager.cpp,Simulation island manager for optimization,Direct port - performance optimization system
BulletCollision/CollisionDispatch/btSimulationIslandManager.h,Simulation island manager header,Direct port - performance optimization system
BulletCollision/CollisionDispatch/btSphereBoxCollisionAlgorithm.cpp,Sphere-box collision algorithm,Direct port - common collision case
BulletCollision/CollisionDispatch/btSphereBoxCollisionAlgorithm.h,Sphere-box collision algorithm header,Direct port - common collision case
BulletCollision/CollisionDispatch/btSphereSphereCollisionAlgorithm.cpp,Sphere-sphere collision algorithm,Direct port - simplest collision case
BulletCollision/CollisionDispatch/btSphereSphereCollisionAlgorithm.h,Sphere-sphere collision algorithm header,Direct port - simplest collision case
BulletCollision/CollisionDispatch/btSphereTriangleCollisionAlgorithm.cpp,Sphere-triangle collision algorithm,Direct port - mesh collision case
BulletCollision/CollisionDispatch/btSphereTriangleCollisionAlgorithm.h,Sphere-triangle collision algorithm header,Direct port - mesh collision case
BulletCollision/CollisionDispatch/btUnionFind.cpp,Union-find data structure implementation,Direct port - useful algorithm for graph operations
BulletCollision/CollisionDispatch/btUnionFind.h,Union-find data structure header,Direct port - useful algorithm for graph operations
BulletCollision/CollisionDispatch/SphereTriangleDetector.cpp,Sphere-triangle detector implementation,Direct port - low-level collision detection
BulletCollision/CollisionDispatch/SphereTriangleDetector.h,Sphere-triangle detector header,Direct port - low-level collision detection
BulletCollision/CollisionShapes/btBox2dShape.cpp,2D box collision shape implementation,Direct port - basic 2D shape
BulletCollision/CollisionShapes/btBox2dShape.h,2D box collision shape header,Direct port - basic 2D shape
BulletCollision/CollisionShapes/btBoxShape.cpp,3D box collision shape implementation,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btBoxShape.h,3D box collision shape header,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btBvhTriangleMeshShape.cpp,BVH triangle mesh shape implementation,Direct port - optimized mesh collision
BulletCollision/CollisionShapes/btBvhTriangleMeshShape.h,BVH triangle mesh shape header,Direct port - optimized mesh collision
BulletCollision/CollisionShapes/btCapsuleShape.cpp,Capsule collision shape implementation,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btCapsuleShape.h,Capsule collision shape header,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btCollisionMargin.h,Collision margin configuration,Direct port - collision tolerance constants
BulletCollision/CollisionShapes/btCollisionShape.cpp,Base collision shape implementation,Direct port - abstract base class (priority)
BulletCollision/CollisionShapes/btCollisionShape.h,Base collision shape header,Direct port - abstract base class (priority)
BulletCollision/CollisionShapes/btCompoundShape.cpp,Compound shape (multiple shapes) implementation,Direct port - important composite shape
BulletCollision/CollisionShapes/btCompoundShape.h,Compound shape (multiple shapes) header,Direct port - important composite shape
BulletCollision/CollisionShapes/btConcaveShape.cpp,Base concave shape implementation,Direct port - base for mesh shapes
BulletCollision/CollisionShapes/btConcaveShape.h,Base concave shape header,Direct port - base for mesh shapes
BulletCollision/CollisionShapes/btConeShape.cpp,Cone collision shape implementation,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btConeShape.h,Cone collision shape header,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btConvex2dShape.cpp,2D convex shape wrapper implementation,Direct port - 2D collision support
BulletCollision/CollisionShapes/btConvex2dShape.h,2D convex shape wrapper header,Direct port - 2D collision support
BulletCollision/CollisionShapes/btConvexHullShape.cpp,Convex hull shape implementation,Direct port - important shape type
BulletCollision/CollisionShapes/btConvexHullShape.h,Convex hull shape header,Direct port - important shape type
BulletCollision/CollisionShapes/btConvexInternalShape.cpp,Base convex shape implementation,Direct port - base for convex shapes
BulletCollision/CollisionShapes/btConvexInternalShape.h,Base convex shape header,Direct port - base for convex shapes
BulletCollision/CollisionShapes/btConvexPointCloudShape.cpp,Convex point cloud shape implementation,Direct port - specialized convex shape
BulletCollision/CollisionShapes/btConvexPointCloudShape.h,Convex point cloud shape header,Direct port - specialized convex shape
BulletCollision/CollisionShapes/btConvexPolyhedron.cpp,Convex polyhedron data structure,Direct port - geometric data structure
BulletCollision/CollisionShapes/btConvexPolyhedron.h,Convex polyhedron data structure header,Direct port - geometric data structure
BulletCollision/CollisionShapes/btConvexShape.cpp,Base convex shape implementation,Direct port - base for all convex shapes
BulletCollision/CollisionShapes/btConvexShape.h,Base convex shape header,Direct port - base for all convex shapes
BulletCollision/CollisionShapes/btConvexTriangleMeshShape.cpp,Convex triangle mesh shape implementation,Direct port - convex mesh shape
BulletCollision/CollisionShapes/btConvexTriangleMeshShape.h,Convex triangle mesh shape header,Direct port - convex mesh shape
BulletCollision/CollisionShapes/btCylinderShape.cpp,Cylinder collision shape implementation,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btCylinderShape.h,Cylinder collision shape header,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btEmptyShape.cpp,Empty collision shape implementation,Direct port - null/empty shape
BulletCollision/CollisionShapes/btEmptyShape.h,Empty collision shape header,Direct port - null/empty shape
BulletCollision/CollisionShapes/btHeightfieldTerrainShape.cpp,Heightfield terrain shape implementation,Direct port - terrain collision
BulletCollision/CollisionShapes/btHeightfieldTerrainShape.h,Heightfield terrain shape header,Direct port - terrain collision
BulletCollision/CollisionShapes/btMaterial.h,Material properties for collision shapes,Direct port - material property system
BulletCollision/CollisionShapes/btMiniSDF.cpp,Mini signed distance field implementation,Direct port - SDF collision detection
BulletCollision/CollisionShapes/btMiniSDF.h,Mini signed distance field header,Direct port - SDF collision detection
BulletCollision/CollisionShapes/btMinkowskiSumShape.cpp,Minkowski sum shape implementation,Direct port - advanced geometric shape
BulletCollision/CollisionShapes/btMinkowskiSumShape.h,Minkowski sum shape header,Direct port - advanced geometric shape
BulletCollision/CollisionShapes/btMultimaterialTriangleMeshShape.cpp,Multi-material triangle mesh shape,Direct port - mesh with multiple materials
BulletCollision/CollisionShapes/btMultimaterialTriangleMeshShape.h,Multi-material triangle mesh shape header,Direct port - mesh with multiple materials
BulletCollision/CollisionShapes/btMultiSphereShape.cpp,Multi-sphere shape implementation,Direct port - compound sphere shape
BulletCollision/CollisionShapes/btMultiSphereShape.h,Multi-sphere shape header,Direct port - compound sphere shape
BulletCollision/CollisionShapes/btOptimizedBvh.cpp,Optimized bounding volume hierarchy,Direct port - mesh acceleration structure
BulletCollision/CollisionShapes/btOptimizedBvh.h,Optimized bounding volume hierarchy header,Direct port - mesh acceleration structure
BulletCollision/CollisionShapes/btPolyhedralConvexShape.cpp,Polyhedral convex shape base implementation,Direct port - base for polyhedral shapes
BulletCollision/CollisionShapes/btPolyhedralConvexShape.h,Polyhedral convex shape base header,Direct port - base for polyhedral shapes
BulletCollision/CollisionShapes/btScaledBvhTriangleMeshShape.cpp,Scaled BVH triangle mesh shape,Direct port - scaled mesh collision
BulletCollision/CollisionShapes/btScaledBvhTriangleMeshShape.h,Scaled BVH triangle mesh shape header,Direct port - scaled mesh collision
BulletCollision/CollisionShapes/btSdfCollisionShape.cpp,Signed distance field collision shape,Direct port - SDF-based collision
BulletCollision/CollisionShapes/btSdfCollisionShape.h,Signed distance field collision shape header,Direct port - SDF-based collision
BulletCollision/CollisionShapes/btShapeHull.cpp,Shape hull computation implementation,Direct port - convex hull utilities
BulletCollision/CollisionShapes/btShapeHull.h,Shape hull computation header,Direct port - convex hull utilities
BulletCollision/CollisionShapes/btSphereShape.cpp,Sphere collision shape implementation,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btSphereShape.h,Sphere collision shape header,Direct port - fundamental collision shape (priority)
BulletCollision/CollisionShapes/btStaticPlaneShape.cpp,Static infinite plane shape implementation,Direct port - infinite plane collision
BulletCollision/CollisionShapes/btStaticPlaneShape.h,Static infinite plane shape header,Direct port - infinite plane collision
BulletCollision/CollisionShapes/btStridingMeshInterface.cpp,Mesh data interface implementation,Direct port - mesh data abstraction
BulletCollision/CollisionShapes/btStridingMeshInterface.h,Mesh data interface header,Direct port - mesh data abstraction
BulletCollision/CollisionShapes/btTetrahedronShape.cpp,Tetrahedron shape implementation,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btTetrahedronShape.h,Tetrahedron shape header,Direct port - basic geometric shape
BulletCollision/CollisionShapes/btTriangleBuffer.cpp,Triangle buffer implementation,Direct port - triangle data storage
BulletCollision/CollisionShapes/btTriangleBuffer.h,Triangle buffer header,Direct port - triangle data storage
BulletCollision/CollisionShapes/btTriangleCallback.cpp,Triangle processing callback,Direct port - triangle processing interface
BulletCollision/CollisionShapes/btTriangleCallback.h,Triangle processing callback header,Direct port - triangle processing interface
BulletCollision/CollisionShapes/btTriangleIndexVertexArray.cpp,Triangle mesh data array implementation,Direct port - mesh data structure
BulletCollision/CollisionShapes/btTriangleIndexVertexArray.h,Triangle mesh data array header,Direct port - mesh data structure
BulletCollision/CollisionShapes/btTriangleIndexVertexMaterialArray.cpp,Triangle mesh with materials implementation,Direct port - mesh with material data
BulletCollision/CollisionShapes/btTriangleIndexVertexMaterialArray.h,Triangle mesh with materials header,Direct port - mesh with material data
BulletCollision/CollisionShapes/btTriangleInfoMap.h,Triangle information mapping,Direct port - triangle metadata storage
BulletCollision/CollisionShapes/btTriangleMesh.cpp,Triangle mesh implementation,Direct port - basic mesh structure
BulletCollision/CollisionShapes/btTriangleMesh.h,Triangle mesh header,Direct port - basic mesh structure
BulletCollision/CollisionShapes/btTriangleMeshShape.cpp,Triangle mesh collision shape,Direct port - mesh collision shape
BulletCollision/CollisionShapes/btTriangleMeshShape.h,Triangle mesh collision shape header,Direct port - mesh collision shape
BulletCollision/CollisionShapes/btTriangleShape.h,Single triangle shape header,Direct port - basic triangle shape
